Accuracy_HoldoutSet,Accuracy_Kaggle,Position_Kaggle,Model,Kaggle Percentile
0.8,0.80383,529,XGBoost Tuned (14 Rounds),78.2%
0.79,0.80243,635,XGBoost Untuned (55 Rounds),73.8%
0.7715,0.80149,726,SVM Rad,70.0% 
0.7741,0.80032,943,SVM Rad Lower Sigma,61.1%
0.7669,0.79682,1035,SVM Rad Higher Sigma,57.3%
0.78,0.79775,1047,RVM Linear,56.8%
0.78,0.79611,1084,SVM poly,55.3%
0.79,0.78793,1586,Random Forest,34.5%
0.78,0.77975,1789,Logistic Regression with features,26.2%
0.76,0.77881,1805,Neural Net (severely limited due to computer power),25.5%
0.78,0.69227,2194,Logistic Regression First Pass,9.5%
